haplotypes,source,method,cutoff_years,policy,target,mode,n,called,region_call_rate
400,decoded,maximum_frac_recent,10000,neutral_target,0.05,neutral,1000,45,0.045
400,decoded,maximum_frac_recent,10000,neutral_target,0.05,selected,100,18,0.18
400,decoded,maximum_frac_recent,10000,neutral_target,0.1,neutral,1000,102,0.102
400,decoded,maximum_frac_recent,10000,neutral_target,0.1,selected,100,24,0.24
400,decoded,maximum_frac_recent,10000,selected_target,0.7,neutral,1000,540,0.54
400,decoded,maximum_frac_recent,10000,selected_target,0.7,selected,100,68,0.68
400,decoded,maximum_frac_recent,20000,neutral_target,0.01,neutral,1000,15,0.015
400,decoded,maximum_frac_recent,20000,neutral_target,0.01,selected,100,7,0.07
400,decoded,maximum_frac_recent,20000,neutral_target,0.05,neutral,1000,55,0.055
400,decoded,maximum_frac_recent,20000,neutral_target,0.05,selected,100,19,0.19
400,decoded,maximum_frac_recent,20000,neutral_target,0.1,neutral,1000,109,0.109
400,decoded,maximum_frac_recent,20000,neutral_target,0.1,selected,100,28,0.28
400,decoded,maximum_frac_recent,20000,selected_target,0.7,neutral,1000,586,0.586
400,decoded,maximum_frac_recent,20000,selected_target,0.7,selected,100,70,0.7
400,decoded,maximum_frac_recent,30000,neutral_target,0.01,neutral,1000,14,0.014
400,decoded,maximum_frac_recent,30000,neutral_target,0.01,selected,100,5,0.05
400,decoded,maximum_frac_recent,30000,neutral_target,0.05,neutral,1000,55,0.055
400,decoded,maximum_frac_recent,30000,neutral_target,0.05,selected,100,19,0.19
400,decoded,maximum_frac_recent,30000,neutral_target,0.1,neutral,1000,102,0.102
400,decoded,maximum_frac_recent,30000,neutral_target,0.1,selected,100,27,0.27
400,decoded,maximum_frac_recent,30000,selected_target,0.7,neutral,1000,551,0.551
400,decoded,maximum_frac_recent,30000,selected_target,0.7,selected,100,69,0.69
400,decoded,maximum_frac_recent,40000,neutral_target,0.01,neutral,1000,10,0.01
400,decoded,maximum_frac_recent,40000,neutral_target,0.01,selected,100,3,0.03
400,decoded,maximum_frac_recent,40000,neutral_target,0.05,neutral,1000,54,0.054
400,decoded,maximum_frac_recent,40000,neutral_target,0.05,selected,100,16,0.16
400,decoded,maximum_frac_recent,40000,neutral_target,0.1,neutral,1000,103,0.103
400,decoded,maximum_frac_recent,40000,neutral_target,0.1,selected,100,24,0.24
400,decoded,maximum_frac_recent,40000,selected_target,0.7,neutral,1000,569,0.569
400,decoded,maximum_frac_recent,40000,selected_target,0.7,selected,100,71,0.71
400,decoded,maximum_frac_recent,50000,neutral_target,0.01,neutral,1000,10,0.01
400,decoded,maximum_frac_recent,50000,neutral_target,0.01,selected,100,3,0.03
400,decoded,maximum_frac_recent,50000,neutral_target,0.05,neutral,1000,49,0.049
400,decoded,maximum_frac_recent,50000,neutral_target,0.05,selected,100,14,0.14
400,decoded,maximum_frac_recent,50000,neutral_target,0.1,neutral,1000,98,0.098
400,decoded,maximum_frac_recent,50000,neutral_target,0.1,selected,100,23,0.23
400,decoded,maximum_frac_recent,50000,selected_target,0.7,neutral,1000,571,0.571
400,decoded,maximum_frac_recent,50000,selected_target,0.7,selected,100,71,0.71
400,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.01,neutral,1000,13,0.013
400,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.01,selected,100,4,0.04
400,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.05,neutral,1000,46,0.046
400,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.05,selected,100,13,0.13
400,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.1,neutral,1000,91,0.091
400,decoded,maximum_standardized_frac_recent,5000,neutral_target,0.1,selected,100,18,0.18
400,decoded,maximum_standardized_frac_recent,5000,selected_target,0.7,neutral,1000,563,0.563
400,decoded,maximum_standardized_frac_recent,5000,selected_target,0.7,selected,100,70,0.7
400,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.01,neutral,1000,11,0.011
400,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.01,selected,100,6,0.06
400,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.05,neutral,1000,50,0.05
400,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.05,selected,100,17,0.17
400,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.1,neutral,1000,97,0.097
400,decoded,maximum_standardized_frac_recent,10000,neutral_target,0.1,selected,100,24,0.24
400,decoded,maximum_standardized_frac_recent,10000,selected_target,0.7,neutral,1000,574,0.574
400,decoded,maximum_standardized_frac_recent,10000,selected_target,0.7,selected,100,68,0.68
400,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.01,neutral,1000,10,0.01
400,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.01,selected,100,6,0.06
400,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.05,neutral,1000,59,0.059
400,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.05,selected,100,18,0.18
400,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.1,neutral,1000,104,0.104
400,decoded,maximum_standardized_frac_recent,20000,neutral_target,0.1,selected,100,29,0.29
400,decoded,maximum_standardized_frac_recent,20000,selected_target,0.7,neutral,1000,540,0.54
400,decoded,maximum_standardized_frac_recent,20000,selected_target,0.7,selected,100,67,0.67
400,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.01,neutral,1000,11,0.011
400,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.01,selected,100,6,0.06
400,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.05,neutral,1000,53,0.053
400,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.05,selected,100,16,0.16
400,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.1,neutral,1000,95,0.095
400,decoded,maximum_standardized_frac_recent,30000,neutral_target,0.1,selected,100,25,0.25
