source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,200_selected_n,200_selected_called,200_selected_fraction,200_neutral_n,200_neutral_called,200_neutral_fraction,400_selected_n,400_selected_called,400_selected_fraction,400_neutral_n,400_neutral_called,400_neutral_fraction
decoded,20000,0.01,20000,1,10,100,10,0.1,1000,29,0.029,100,13,0.13,1000,35,0.035
decoded,20000,0.01,20000,1,20,100,1,0.01,1000,0,0.0,100,2,0.02,1000,1,0.001
decoded,20000,0.01,20000,1,3,100,71,0.71,1000,548,0.548,100,68,0.68,1000,544,0.544
decoded,20000,0.01,20000,1,5,100,36,0.36,1000,249,0.249,100,43,0.43,1000,254,0.254
decoded,20000,0.01,50000,0,1,100,80,0.8,1000,702,0.702,100,75,0.75,1000,714,0.714
decoded,20000,0.01,50000,0,10,100,0,0.0,1000,0,0.0,100,1,0.01,1000,0,0.0
decoded,20000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.01,50000,0,3,100,24,0.24,1000,130,0.13,100,26,0.26,1000,133,0.133
decoded,20000,0.01,50000,0,5,100,9,0.09,1000,10,0.01,100,6,0.06,1000,20,0.02
decoded,20000,0.01,50000,1,1,100,80,0.8,1000,702,0.702,100,75,0.75,1000,714,0.714
decoded,20000,0.01,50000,1,10,100,1,0.01,1000,0,0.0,100,1,0.01,1000,1,0.001
decoded,20000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.01,50000,1,3,100,27,0.27,1000,149,0.149,100,27,0.27,1000,147,0.147
decoded,20000,0.01,50000,1,5,100,10,0.1,1000,14,0.014,100,9,0.09,1000,25,0.025
decoded,20000,0.05,10000,0,1,100,100,1.0,1000,997,0.997,100,100,1.0,1000,999,0.999
decoded,20000,0.05,10000,0,10,100,83,0.83,1000,747,0.747,100,83,0.83,1000,758,0.758
decoded,20000,0.05,10000,0,20,100,39,0.39,1000,186,0.186,100,37,0.37,1000,184,0.184
decoded,20000,0.05,10000,0,3,100,100,1.0,1000,990,0.99,100,100,1.0,1000,995,0.995
decoded,20000,0.05,10000,0,5,100,98,0.98,1000,972,0.972,100,99,0.99,1000,983,0.983
decoded,20000,0.05,10000,1,1,100,100,1.0,1000,997,0.997,100,100,1.0,1000,999,0.999
decoded,20000,0.05,10000,1,10,100,86,0.86,1000,761,0.761,100,87,0.87,1000,786,0.786
decoded,20000,0.05,10000,1,20,100,42,0.42,1000,212,0.212,100,38,0.38,1000,213,0.213
decoded,20000,0.05,10000,1,3,100,100,1.0,1000,991,0.991,100,100,1.0,1000,995,0.995
decoded,20000,0.05,10000,1,5,100,98,0.98,1000,974,0.974,100,99,0.99,1000,983,0.983
decoded,20000,0.05,20000,0,1,100,100,1.0,1000,996,0.996,100,100,1.0,1000,999,0.999
decoded,20000,0.05,20000,0,10,100,40,0.4,1000,220,0.22,100,40,0.4,1000,209,0.209
decoded,20000,0.05,20000,0,20,100,7,0.07,1000,8,0.008,100,3,0.03,1000,13,0.013
decoded,20000,0.05,20000,0,3,100,98,0.98,1000,970,0.97,100,99,0.99,1000,978,0.978
decoded,20000,0.05,20000,0,5,100,87,0.87,1000,790,0.79,100,88,0.88,1000,812,0.812
decoded,20000,0.05,20000,1,1,100,100,1.0,1000,996,0.996,100,100,1.0,1000,999,0.999
decoded,20000,0.05,20000,1,10,100,46,0.46,1000,267,0.267,100,44,0.44,1000,262,0.262
decoded,20000,0.05,20000,1,20,100,8,0.08,1000,13,0.013,100,4,0.04,1000,18,0.018
decoded,20000,0.05,20000,1,3,100,98,0.98,1000,973,0.973,100,99,0.99,1000,981,0.981
decoded,20000,0.05,20000,1,5,100,87,0.87,1000,809,0.809,100,91,0.91,1000,835,0.835
decoded,20000,0.05,50000,0,1,100,99,0.99,1000,991,0.991,100,99,0.99,1000,997,0.997
decoded,20000,0.05,50000,0,10,100,2,0.02,1000,5,0.005,100,2,0.02,1000,8,0.008
decoded,20000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.05,50000,0,3,100,76,0.76,1000,608,0.608,100,76,0.76,1000,612,0.612
decoded,20000,0.05,50000,0,5,100,38,0.38,1000,158,0.158,100,33,0.33,1000,171,0.171
decoded,20000,0.05,50000,1,1,100,99,0.99,1000,991,0.991,100,99,0.99,1000,997,0.997
decoded,20000,0.05,50000,1,10,100,5,0.05,1000,8,0.008,100,3,0.03,1000,17,0.017
decoded,20000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.05,50000,1,3,100,79,0.79,1000,651,0.651,100,79,0.79,1000,659,0.659
decoded,20000,0.05,50000,1,5,100,48,0.48,1000,209,0.209,100,41,0.41,1000,217,0.217
decoded,30000,0.001,10000,0,1,100,36,0.36,1000,276,0.276,100,51,0.51,1000,268,0.268
decoded,30000,0.001,10000,0,10,100,2,0.02,1000,3,0.003,100,8,0.08,1000,6,0.006
decoded,30000,0.001,10000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,10000,0,3,100,23,0.23,1000,146,0.146,100,33,0.33,1000,130,0.13
decoded,30000,0.001,10000,0,5,100,13,0.13,1000,56,0.056,100,20,0.2,1000,52,0.052
decoded,30000,0.001,10000,1,1,100,36,0.36,1000,276,0.276,100,51,0.51,1000,268,0.268
decoded,30000,0.001,10000,1,10,100,2,0.02,1000,3,0.003,100,8,0.08,1000,7,0.007
decoded,30000,0.001,10000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,1,0.001
decoded,30000,0.001,10000,1,3,100,23,0.23,1000,148,0.148,100,34,0.34,1000,135,0.135
decoded,30000,0.001,10000,1,5,100,14,0.14,1000,60,0.06,100,21,0.21,1000,54,0.054
decoded,30000,0.001,20000,0,1,100,34,0.34,1000,235,0.235,100,47,0.47,1000,229,0.229
decoded,30000,0.001,20000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,20000,0,3,100,8,0.08,1000,48,0.048,100,18,0.18,1000,45,0.045
decoded,30000,0.001,20000,0,5,100,2,0.02,1000,4,0.004,100,9,0.09,1000,8,0.008
decoded,30000,0.001,20000,1,1,100,34,0.34,1000,235,0.235,100,47,0.47,1000,229,0.229
decoded,30000,0.001,20000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,1,0.001
decoded,30000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,20000,1,3,100,9,0.09,1000,51,0.051,100,20,0.2,1000,47,0.047
decoded,30000,0.001,20000,1,5,100,2,0.02,1000,5,0.005,100,9,0.09,1000,12,0.012
decoded,30000,0.001,50000,0,1,100,24,0.24,1000,153,0.153,100,32,0.32,1000,155,0.155
decoded,30000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,50000,0,3,100,1,0.01,1000,3,0.003,100,4,0.04,1000,7,0.007
decoded,30000,0.001,50000,0,5,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,50000,1,1,100,24,0.24,1000,153,0.153,100,32,0.32,1000,155,0.155
decoded,30000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.001,50000,1,3,100,1,0.01,1000,3,0.003,100,5,0.05,1000,7,0.007
decoded,30000,0.001,50000,1,5,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.01,10000,0,1,100,93,0.93,1000,872,0.872,100,94,0.94,1000,883,0.883
decoded,30000,0.01,10000,0,10,100,24,0.24,1000,127,0.127,100,32,0.32,1000,129,0.129
decoded,30000,0.01,10000,0,20,100,4,0.04,1000,8,0.008,100,5,0.05,1000,12,0.012
decoded,30000,0.01,10000,0,3,100,80,0.8,1000,741,0.741,100,88,0.88,1000,761,0.761
decoded,30000,0.01,10000,0,5,100,60,0.6,1000,503,0.503,100,67,0.67,1000,519,0.519
decoded,30000,0.01,10000,1,1,100,93,0.93,1000,872,0.872,100,94,0.94,1000,883,0.883
decoded,30000,0.01,10000,1,10,100,24,0.24,1000,151,0.151,100,36,0.36,1000,147,0.147
decoded,30000,0.01,10000,1,20,100,4,0.04,1000,12,0.012,100,6,0.06,1000,13,0.013
decoded,30000,0.01,10000,1,3,100,81,0.81,1000,743,0.743,100,88,0.88,1000,766,0.766
decoded,30000,0.01,10000,1,5,100,62,0.62,1000,525,0.525,100,67,0.67,1000,536,0.536
decoded,30000,0.01,20000,0,1,100,89,0.89,1000,851,0.851,100,94,0.94,1000,860,0.86
decoded,30000,0.01,20000,0,10,100,5,0.05,1000,9,0.009,100,7,0.07,1000,12,0.012
decoded,30000,0.01,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.01,20000,0,3,100,56,0.56,1000,454,0.454,100,63,0.63,1000,479,0.479
decoded,30000,0.01,20000,0,5,100,26,0.26,1000,157,0.157,100,37,0.37,1000,170,0.17
decoded,30000,0.01,20000,1,1,100,89,0.89,1000,851,0.851,100,94,0.94,1000,860,0.86
decoded,30000,0.01,20000,1,10,100,7,0.07,1000,16,0.016,100,11,0.11,1000,16,0.016
decoded,30000,0.01,20000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.01,20000,1,3,100,61,0.61,1000,484,0.484,100,65,0.65,1000,500,0.5
decoded,30000,0.01,20000,1,5,100,30,0.3,1000,180,0.18,100,38,0.38,1000,184,0.184
decoded,30000,0.01,50000,0,1,100,80,0.8,1000,757,0.757,100,85,0.85,1000,760,0.76
decoded,30000,0.01,50000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.01,50000,0,3,100,20,0.2,1000,93,0.093,100,23,0.23,1000,83,0.083
decoded,30000,0.01,50000,0,5,100,6,0.06,1000,4,0.004,100,4,0.04,1000,11,0.011
decoded,30000,0.01,50000,1,1,100,80,0.8,1000,757,0.757,100,85,0.85,1000,760,0.76
decoded,30000,0.01,50000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.01,50000,1,3,100,22,0.22,1000,113,0.113,100,28,0.28,1000,97,0.097
decoded,30000,0.01,50000,1,5,100,6,0.06,1000,5,0.005,100,7,0.07,1000,14,0.014
decoded,30000,0.05,10000,0,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,30000,0.05,10000,0,10,100,77,0.77,1000,649,0.649,100,72,0.72,1000,652,0.652
decoded,30000,0.05,10000,0,20,100,28,0.28,1000,133,0.133,100,25,0.25,1000,124,0.124
decoded,30000,0.05,10000,0,3,100,100,1.0,1000,999,0.999,100,100,1.0,1000,1000,1.0
decoded,30000,0.05,10000,0,5,100,99,0.99,1000,973,0.973,100,100,1.0,1000,975,0.975
decoded,30000,0.05,10000,1,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,30000,0.05,10000,1,10,100,80,0.8,1000,693,0.693,100,78,0.78,1000,702,0.702
decoded,30000,0.05,10000,1,20,100,29,0.29,1000,162,0.162,100,28,0.28,1000,148,0.148
decoded,30000,0.05,10000,1,3,100,100,1.0,1000,999,0.999,100,100,1.0,1000,1000,1.0
decoded,30000,0.05,10000,1,5,100,100,1.0,1000,976,0.976,100,100,1.0,1000,976,0.976
decoded,30000,0.05,20000,0,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,30000,0.05,20000,0,10,100,33,0.33,1000,158,0.158,100,32,0.32,1000,146,0.146
decoded,30000,0.05,20000,0,20,100,3,0.03,1000,4,0.004,100,2,0.02,1000,7,0.007
decoded,30000,0.05,20000,0,3,100,100,1.0,1000,965,0.965,100,99,0.99,1000,960,0.96
decoded,30000,0.05,20000,0,5,100,81,0.81,1000,711,0.711,100,79,0.79,1000,727,0.727
decoded,30000,0.05,20000,1,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,30000,0.05,20000,1,10,100,35,0.35,1000,206,0.206,100,36,0.36,1000,177,0.177
decoded,30000,0.05,20000,1,20,100,3,0.03,1000,10,0.01,100,3,0.03,1000,8,0.008
decoded,30000,0.05,20000,1,3,100,100,1.0,1000,971,0.971,100,99,0.99,1000,968,0.968
decoded,30000,0.05,20000,1,5,100,86,0.86,1000,748,0.748,100,86,0.86,1000,771,0.771
decoded,30000,0.05,50000,0,1,100,100,1.0,1000,998,0.998,100,100,1.0,1000,1000,1.0
