selection_coefficient	replicate	realized_population_allele_frequency	focal_allele_outcome	ancestry_seconds	slim_seconds	center_fraction_recent	center_mean_tmrca_generations	window_10000_fraction_recent	window_100000_fraction_recent	neutral_plateau_fraction_recent	neutral_plateau_mean_tmrca_generations	center_fraction_recent_mc_p_upper	window_10000_fraction_recent_mc_p_upper	window_100000_fraction_recent_mc_p_upper
0.0	99	0.0	lost	16.205645000038203	3.681866099999752	0.009	20291.017069532485	0.0088636363636363	0.0088316831683168	0.0104586776859504	18531.054119070395	NA	NA	NA
0.001	0	0.0	lost	10.117676599998958	3.206571999995504	0.0105	15569.927196388582	0.0104999999999999	0.0102673267326732	0.0077148760330578	20164.145035829184	0.3663366336633663	0.3465346534653465	0.3267326732673267
0.001	1	0.0	lost	14.151107400015462	3.584929500008002	0.0095	17318.30503027643	0.0096818181818181	0.0096782178217821	0.0109256198347107	19270.562380411408	0.5247524752475248	0.4356435643564356	0.4455445544554455
0.001	2	0.0	lost	13.8946583000361	2.857553000038024	0.0085	16597.948894959543	0.0085	0.0084455445544554	0.0089338842975206	20213.317736255973	0.6435643564356436	0.6336633663366337	0.6435643564356436
0.001	3	0.0	lost	15.7716078000376	3.2199196000001398	0.011	16400.147539884052	0.0109090909090909	0.0117623762376237	0.0088347107438016	18278.18167288381	0.2574257425742574	0.2574257425742574	0.1287128712871287
0.001	4	0.0	lost	16.68072270002449	3.721450500015635	0.0085	37240.9308781374	0.0087272727272727	0.0094257425742574	0.0088099173553718	19745.049474261206	0.6435643564356436	0.5841584158415841	0.4851485148514851
0.001	5	0.0	lost	16.527861200040206	3.8147091999999247	0.0075	26056.777779700344	0.0077272727272727	0.008079207920792	0.0081363636363636	19006.879759913456	0.7920792079207921	0.7227722772277227	0.6534653465346535
0.001	6	0.0	lost	15.724698700010777	3.4782941000303254	0.0105	17424.55559504424	0.0104999999999999	0.0103366336633663	0.0096611570247933	19180.90266796328	0.3663366336633663	0.3465346534653465	0.3168316831683168
0.001	7	0.0	lost	15.964702100027353	3.4815860000089742	0.01	18017.955729536094	0.0097727272727272	0.0101039603960396	0.0072685950413223	20060.51964387975	0.4356435643564356	0.4257425742574257	0.3861386138613861
0.001	8	0.0	lost	14.379290300013963	3.399761800013948	0.0045	5702.077109079998	0.0044999999999999	0.0048118811881188	0.0090495867768595	18272.8926607546	0.9801980198019802	0.9801980198019802	0.9702970297029704
0.001	9	0.0	lost	12.909508199954873	2.4127346000168477	0.013	21761.761368191623	0.0128636363636363	0.0123069306930693	0.0094256198347107	18451.595277543864	0.0594059405940594	0.0495049504950495	0.0396039603960396
0.001	10	0.0	lost	12.493815599998925	2.7678445000201464	0.0085	25372.753366653	0.0084090909090909	0.0082821782178217	0.0088884297520661	18897.10906437368	0.6435643564356436	0.6435643564356436	0.6534653465346535
0.001	11	0.0	lost	15.672807599999942	2.889320499962196	0.008	17485.41797274067	0.008	0.0082574257425742	0.0068760330578512	19729.00408751357	0.7227722772277227	0.7029702970297029	0.6534653465346535
0.001	12	0.0	lost	15.417504700017162	2.479824200039729	0.006	11101.616711189748	0.0057727272727272	0.005539603960396	0.0078181818181818	19718.5474408703	0.9504950495049505	0.9504950495049505	0.9504950495049505
0.001	13	0.0	lost	15.284798300010152	2.601903400034644	0.0075	13256.8404245669	0.0073636363636363	0.0072376237623762	0.0082355371900826	20763.310765023994	0.7920792079207921	0.7920792079207921	0.7920792079207921
0.001	14	0.0	lost	15.374369099969044	2.886789999960456	0.0065	16603.972824605316	0.0065	0.0063861386138613	0.0087024793388429	19243.57040766176	0.9108910891089108	0.900990099009901	0.8811881188118812
0.001	15	0.0	lost	15.365647599974182	2.941160500049591	0.009	25474.01531200336	0.0089999999999999	0.0091683168316831	0.0073016528925619	19388.17244671045	0.5841584158415841	0.5742574257425742	0.5445544554455446
0.001	16	0.0	lost	15.370383900008164	2.507760300009977	0.0095	22049.819256347702	0.0094999999999999	0.0096485148514851	0.0098636363636363	20338.688945206675	0.5247524752475248	0.4851485148514851	0.4455445544554455
0.001	17	0.0	lost	12.273777300026268	2.73758389998693	0.006	12591.091441027987	0.006	0.0058514851485148	0.0090289256198347	21323.340660044614	0.9504950495049505	0.9405940594059404	0.9306930693069309
0.001	18	0.0	lost	12.872501200006807	2.3258767999941483	0.0065	12094.111457293018	0.0066363636363636	0.0067079207920792	0.0093595041322314	21096.18990378947	0.9108910891089108	0.8514851485148515	0.8514851485148515
0.001	19	0.0	lost	15.593373999989126	2.4391500999918208	0.0095	28159.30205025416	0.0094999999999999	0.0096287128712871	0.0103429752066115	19152.891489262856	0.5247524752475248	0.4851485148514851	0.4554455445544554
0.001	20	0.0	lost	13.858453399967402	2.3985658999881707	0.008	11882.635591774342	0.0080454545454545	0.0082970297029702	0.0091570247933884	20933.628563777896	0.7227722772277227	0.6633663366336634	0.6534653465346535
