demography_id	target_allele_frequency	statistic_scope	metric	statistic	threshold_years	n_neutral	n_folds	fold_sizes	minimum_training_null	maximum_training_null	mean_crossfit_p	fraction_crossfit_p_le_0_05	ks_uniform_p	calibration_note
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_hom_ref	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.999536582707	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_hom_ref	40000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.971003753121	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_hom_ref	50000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.935754504682	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_overall	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.994721687442	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_overall	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.997169676083	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_overall	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.900062251147	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_overall	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.960306237243	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_overall	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.920227331993	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_overall	40000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.996628283881	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.3	region_mean	p_tmrca_lt_threshold	p_overall	50000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.91895665479	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.06	0.973019450048	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	normalized_cdf_area	cdf_area_heterozygous	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.997293758635	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.997169676083	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.07	0.999925106509	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_ref	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.994922803771	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	normalized_cdf_area	cdf_area_overall	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.993856313911	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.986686447909	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.977355718547	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.993624211027	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.964374178567	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.997293758635	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	40000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.997293758635	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	50000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.998551434522	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.981703470923	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.961142074048	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.94841841379	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.993856313911	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
eas_phlash_median	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.997851664245	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
