unit_id	status	error	final_population_af
neutral_0061	complete		0.0960317460317
neutral_0062	complete		0.0376984126984
neutral_0063	complete		0.0821428571429
neutral_0064	complete		0.0603174603175
neutral_0065	complete		0.261507936508
neutral_0066	complete		0.0638888888889
neutral_0067	complete		0.0166666666667
neutral_0068	complete		0.0666666666667
neutral_0069	complete		0.0964285714286
neutral_0070	complete		0.149206349206
neutral_0071	complete		0.147222222222
neutral_0072	complete		0.00198412698413
neutral_0073	complete		0.152380952381
neutral_0074	complete		0.0111111111111
neutral_0075	complete		0.0761904761905
neutral_0076	complete		0.0289682539683
neutral_0077	complete		0.106746031746
neutral_0078	complete		0.149206349206
neutral_0079	complete		0.0325396825397
neutral_0080	complete		0.00634920634921
neutral_0081	complete		0.131349206349
neutral_0082	complete		0.0134920634921
neutral_0083	complete		0.0198412698413
neutral_0084	complete		0.309523809524
neutral_0085	complete		0.0515873015873
neutral_0086	complete		0.093253968254
neutral_0087	complete		0.127777777778
neutral_0088	complete		0.119047619048
neutral_0089	complete		0.05
neutral_0090	complete		0.0238095238095
neutral_0091	complete		0.00992063492063
neutral_0092	complete		0.0365079365079
neutral_0093	complete		0.0464285714286
neutral_0094	complete		0.0420634920635
neutral_0095	complete		0.0031746031746
neutral_0096	complete		0.574206349206
neutral_0097	complete		0.183333333333
neutral_0098	complete		0.152777777778
neutral_0099	complete		0.0615079365079
selected_0000	complete		0.370634920635
selected_0001	complete		0.0944444444444
selected_0002	complete		0.272222222222
selected_0003	complete		0.0281746031746
selected_0004	complete		0.22380952381
selected_0005	complete		0.0142857142857
selected_0006	complete		0.0289682539683
selected_0007	complete		0.122619047619
selected_0008	complete		0.0928571428571
selected_0009	complete		0.20753968254
selected_0010	complete		0.281746031746
selected_0011	complete		0.339285714286
selected_0012	complete		0.00793650793651
selected_0013	complete		0.0416666666667
selected_0014	complete		0.0345238095238
selected_0015	complete		0.107936507937
selected_0016	complete		0.143253968254
selected_0017	complete		0.413095238095
selected_0018	complete		0.153174603175
selected_0019	complete		0.284126984127
selected_0020	complete		0.0503968253968
selected_0021	complete		0.163095238095
selected_0022	complete		0.0146825396825
selected_0023	complete		0.277777777778
selected_0024	complete		0.364682539683
selected_0025	complete		0.229761904762
selected_0026	complete		0.688888888889
selected_0027	complete		0.00277777777778
selected_0028	complete		0.162301587302
selected_0029	complete		0.123015873016
selected_0030	complete		0.198015873016
selected_0031	complete		0.159126984127
selected_0032	complete		0.1
selected_0033	complete		0.516666666667
selected_0034	complete		0.00873015873016
selected_0035	complete		0.138492063492
selected_0036	complete		0.373015873016
selected_0037	complete		0.138888888889
selected_0038	complete		0.0551587301587
selected_0039	complete		0.485317460317
selected_0040	complete		0.0789682539683
selected_0041	complete		0.455158730159
selected_0042	complete		0.0404761904762
selected_0043	complete		0.186507936508
selected_0044	complete		0.315476190476
selected_0045	complete		0.075
selected_0046	complete		0.147619047619
selected_0047	complete		0.249603174603
selected_0048	complete		0.322619047619
selected_0049	complete		0.145238095238
selected_0050	complete		0.261111111111
selected_0051	complete		0.185714285714
selected_0052	complete		0.496825396825
selected_0053	complete		0.0809523809524
selected_0054	complete		0.309920634921
selected_0055	complete		0.455952380952
selected_0056	complete		0.145238095238
selected_0057	complete		0.138888888889
selected_0058	complete		0.541666666667
selected_0059	complete		0.240873015873
selected_0060	complete		0.520238095238
selected_0061	complete		0.111507936508
selected_0062	complete		0.1
selected_0063	complete		0.0769841269841
selected_0064	complete		0.419444444444
selected_0065	complete		0.178174603175
selected_0066	complete		0.0587301587302
selected_0067	complete		0.478174603175
selected_0068	complete		0.538888888889
selected_0069	complete		0.137301587302
selected_0070	complete		0.261507936508
selected_0071	complete		0.192063492063
selected_0072	complete		0.542063492063
selected_0073	complete		0.128174603175
selected_0074	complete		0.330555555556
selected_0075	complete		0.0031746031746
selected_0076	complete		0.30119047619
selected_0077	complete		0.226984126984
selected_0078	complete		0.13373015873
selected_0079	complete		0.178174603175
selected_0080	complete		0.0873015873016
selected_0081	complete		0.0464285714286
selected_0082	complete		0.470634920635
selected_0083	complete		0.404761904762
selected_0084	complete		0.439682539683
selected_0085	complete		0.00674603174603
selected_0086	complete		0.0765873015873
selected_0087	complete		0.751984126984
selected_0088	complete		0.180158730159
selected_0089	complete		0.211904761905
selected_0090	complete		0.0730158730159
selected_0091	complete		0.0349206349206
selected_0092	complete		0.435317460317
selected_0093	complete		0.292063492063
selected_0094	complete		0.231349206349
selected_0095	complete		0.0666666666667
selected_0096	complete		0.675396825397
selected_0097	complete		0.175
selected_0098	complete		0.141666666667
selected_0099	complete		0.337301587302
