genotype_class	method	threshold_years	af_bin	af_low	af_mid	n_replicates	mean_statistic	null_mean	auc	power_rule
carrier_carrier	truth	40000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.8762449548290138	0.15520733333333334	0.9989959839357428	0.9759036144578314
carrier_carrier	truth	40000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.778692421295786	0.15520733333333334	0.9997491039426523	0.967741935483871
carrier_carrier	truth	40000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.7556421564178002	0.15520733333333334	0.9982874617737003	0.926605504587156
carrier_carrier	truth	40000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.6739551738672132	0.15520733333333334	0.9963383838383837	0.8636363636363636
carrier_carrier	truth	40000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.575386364321592	0.15520733333333334	0.9868916155419224	0.6625766871165644
carrier_carrier	truth	40000.0	[0.9, 1.01)	0.9	0.9443037974683546	158	0.5224610433975968	0.15520733333333334	0.9600632911392405	0.5443037974683544
carrier_carrier	truth	50000.0	[0.05, 0.15)	0.05	0.10985714285714286	35	1.0	0.20062233333333335	1.0	1.0
carrier_carrier	truth	50000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.9470325723769952	0.20062233333333335	0.9997991967871486	0.9879518072289156
carrier_carrier	truth	50000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.9458788770397956	0.20062233333333335	1.0	1.0
carrier_carrier	truth	50000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.9042093750450771	0.20062233333333335	0.9996330275229358	0.981651376146789
carrier_carrier	truth	50000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.866485331809291	0.20062233333333335	0.9994444444444445	0.9848484848484849
carrier_carrier	truth	50000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.8130888889068594	0.20062233333333335	0.9982413087934561	0.9263803680981595
carrier_carrier	truth	50000.0	[0.9, 1.01)	0.9	0.9443037974683546	158	0.7776820749989855	0.20062233333333335	0.995464135021097	0.879746835443038
carrier_carrier	truth	75000.0	[0.05, 0.15)	0.05	0.10985714285714286	35	1.0	0.28886799999999996	1.0	1.0
carrier_carrier	truth	75000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.994040126390423	0.28886799999999996	0.9993975903614458	0.9879518072289156
carrier_carrier	truth	75000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.9854945667826915	0.28886799999999996	0.9993189964157706	0.978494623655914
carrier_carrier	truth	75000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.9627536082151221	0.28886799999999996	0.9971865443425076	0.9357798165137615
carrier_carrier	truth	75000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.9682364538344412	0.28886799999999996	0.998030303030303	0.9318181818181818
carrier_carrier	truth	75000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.9638912407923957	0.28886799999999996	0.9971983640081801	0.9325153374233128
carrier_carrier	truth	75000.0	[0.9, 1.01)	0.9	0.9443037974683546	158	0.9395866807326932	0.28886799999999996	0.994704641350211	0.8924050632911392
carrier_noncarrier	truth	1000.0	[0.0, 0.05)	0.0	0.02092391304347826	92	0.0	0.0004786666666666667	0.0016666666666666672	0.0
carrier_noncarrier	truth	1000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.0	0.0004786666666666667	0.0016666666666666666	0.0
carrier_noncarrier	truth	1000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.0	0.0004786666666666667	0.001666666666666667	0.0
