threshold_years	genotype_class	window_bp	af_bin	n	mean_statistic	null_mean	null_sd	auc	power
30000.0	carrier_carrier	2000000	[0.0, 0.15)	35	0.1873704662020995	0.1009100447761194	0.01043483276964899	0.9972380952380954	0.9142857142857143
30000.0	carrier_carrier	2000000	[0.15, 0.25)	55	0.1578768832263871	0.1009100447761194	0.01043483276964899	0.9860606060606061	0.7454545454545455
30000.0	carrier_carrier	2000000	[0.25, 0.45)	121	0.14515793959407078	0.1009100447761194	0.01043483276964899	0.95801652892562	0.5289256198347108
30000.0	carrier_carrier	2000000	[0.45, 0.6)	109	0.1448645894888227	0.1009100447761194	0.01043483276964899	0.9116207951070338	0.41284403669724773
30000.0	carrier_carrier	2000000	[0.6, 1.01)	453	0.14597949965238324	0.1009100447761194	0.01043483276964899	0.8185209713024283	0.2913907284768212
30000.0	carrier_carrier	4000000	[0.0, 0.15)	35	0.14672775972219163	0.10110215295095595	0.008491900366707175	0.9908571428571429	0.8
30000.0	carrier_carrier	4000000	[0.15, 0.25)	55	0.1289286461378661	0.10110215295095595	0.008491900366707175	0.9570303030303031	0.4909090909090909
30000.0	carrier_carrier	4000000	[0.25, 0.45)	121	0.1232783961567783	0.10110215295095595	0.008491900366707175	0.8984022038567493	0.36363636363636365
30000.0	carrier_carrier	4000000	[0.45, 0.6)	109	0.12279789096512747	0.10110215295095595	0.008491900366707175	0.8457798165137614	0.24770642201834864
30000.0	carrier_carrier	4000000	[0.6, 1.01)	453	0.12406154080036548	0.10110215295095595	0.008491900366707175	0.7593451066961001	0.25165562913907286
30000.0	overall	10000	[0.0, 0.15)	162	0.09574074074074072	0.10093533333333334	0.026108563253066097	0.44613168724279834	0.0
30000.0	overall	10000	[0.15, 0.25)	55	0.09970909090909089	0.10093533333333334	0.026108563253066097	0.5152727272727273	0.0
30000.0	overall	10000	[0.25, 0.45)	121	0.1255107438016529	0.10093533333333334	0.026108563253066097	0.6876446280991737	0.03305785123966942
30000.0	overall	10000	[0.45, 0.6)	109	0.1694614678899083	0.10093533333333334	0.026108563253066097	0.8408103975535167	0.1926605504587156
30000.0	overall	10000	[0.6, 1.01)	453	0.2716450331125828	0.10093533333333334	0.026108563253066097	0.8697608535688006	0.3090507726269316
30000.0	overall	100000	[0.0, 0.15)	162	0.09657626262626262	0.10005472727272727	0.02273914958674237	0.45763374485596703	0.006172839506172839
30000.0	overall	100000	[0.15, 0.25)	55	0.10044595041322311	0.10005472727272727	0.02273914958674237	0.5316060606060606	0.01818181818181818
30000.0	overall	100000	[0.25, 0.45)	121	0.11986799398948159	0.10005472727272727	0.02273914958674237	0.6725482093663911	0.0743801652892562
30000.0	overall	100000	[0.45, 0.6)	109	0.15443035863219348	0.10005472727272727	0.02273914958674237	0.8124159021406728	0.21100917431192662
30000.0	overall	100000	[0.6, 1.01)	453	0.2463239213325306	0.10005472727272727	0.02273914958674237	0.8620676968359087	0.3487858719646799
30000.0	overall	500000	[0.0, 0.15)	162	0.0983552892762043	0.10060242483660131	0.016865914950110205	0.4528189300411522	0.006172839506172839
30000.0	overall	500000	[0.15, 0.25)	55	0.09981204991087343	0.10060242483660131	0.016865914950110205	0.4874545454545454	0.0
30000.0	overall	500000	[0.25, 0.45)	121	0.1111527791281802	0.10060242483660131	0.016865914950110205	0.616694214876033	0.049586776859504134
30000.0	overall	500000	[0.45, 0.6)	109	0.13062354740061163	0.10060242483660131	0.016865914950110205	0.7253211009174312	0.14678899082568808
30000.0	overall	500000	[0.6, 1.01)	453	0.19137798121456087	0.10060242483660131	0.016865914950110205	0.8162398822663723	0.26048565121412803
30000.0	overall	1000000	[0.0, 0.15)	162	0.09924528175039726	0.1011997788778878	0.01387079239207205	0.44514403292181076	0.024691358024691357
30000.0	overall	1000000	[0.15, 0.25)	55	0.09912817281728172	0.1011997788778878	0.01387079239207205	0.4608484848484848	0.01818181818181818
30000.0	overall	1000000	[0.25, 0.45)	121	0.10702146305539645	0.1011997788778878	0.01387079239207205	0.5841597796143251	0.05785123966942149
30000.0	overall	1000000	[0.45, 0.6)	109	0.12052893995821598	0.1011997788778878	0.01387079239207205	0.6898470948012232	0.1651376146788991
30000.0	overall	1000000	[0.6, 1.01)	453	0.15925290144908533	0.1011997788778878	0.01387079239207205	0.7688337012509198	0.2693156732891832
30000.0	overall	2000000	[0.0, 0.15)	162	0.0999815613291567	0.1009100447761194	0.01043483276964899	0.47004115226337456	0.006172839506172839
30000.0	overall	2000000	[0.15, 0.25)	55	0.09955892356399822	0.1009100447761194	0.01043483276964899	0.46921212121212114	0.0
30000.0	overall	2000000	[0.25, 0.45)	121	0.10480093746145307	0.1009100447761194	0.01043483276964899	0.584848484848485	0.024793388429752067
30000.0	overall	2000000	[0.45, 0.6)	109	0.11209693733169018	0.1009100447761194	0.01043483276964899	0.663639143730887	0.13761467889908258
30000.0	overall	2000000	[0.6, 1.01)	453	0.13362899410233597	0.1009100447761194	0.01043483276964899	0.733300220750552	0.23620309050772628
30000.0	overall	4000000	[0.0, 0.15)	162	0.10039732151103722	0.10110215295095595	0.008491900366707175	0.4799588477366255	0.0
30000.0	overall	4000000	[0.15, 0.25)	55	0.09929622307866695	0.10110215295095595	0.008491900366707175	0.4335757575757576	0.01818181818181818
30000.0	overall	4000000	[0.25, 0.45)	121	0.10276183302075388	0.10110215295095595	0.008491900366707175	0.5409917355371902	0.049586776859504134
30000.0	overall	4000000	[0.45, 0.6)	109	0.10632690521402914	0.10110215295095595	0.008491900366707175	0.6181345565749236	0.10091743119266056
30000.0	overall	4000000	[0.6, 1.01)	453	0.11777139381127755	0.10110215295095595	0.008491900366707175	0.6895695364238411	0.2052980132450331
50000.0	carrier_carrier	10000	[0.0, 0.15)	35	1.0	0.20062233333333335	0.060613879123212644	1.0	1.0
50000.0	carrier_carrier	10000	[0.15, 0.25)	55	0.9482177724616246	0.20062233333333335	0.060613879123212644	1.0	1.0
50000.0	carrier_carrier	10000	[0.25, 0.45)	121	0.9456071205504317	0.20062233333333335	0.060613879123212644	0.999862258953168	0.9917355371900827
50000.0	carrier_carrier	10000	[0.45, 0.6)	109	0.9042093750450771	0.20062233333333335	0.060613879123212644	0.9996330275229358	0.981651376146789
50000.0	carrier_carrier	10000	[0.6, 1.01)	453	0.8162987208399209	0.20062233333333335	0.060613879123212644	0.9976232523914642	0.9271523178807947
50000.0	carrier_carrier	100000	[0.0, 0.15)	35	0.7504538769899797	0.1993740606060606	0.05132674855211027	1.0	1.0
50000.0	carrier_carrier	100000	[0.15, 0.25)	55	0.664959327176208	0.1993740606060606	0.05132674855211027	0.9976969696969697	0.9272727272727272
50000.0	carrier_carrier	100000	[0.25, 0.45)	121	0.6552356081548125	0.1993740606060606	0.05132674855211027	0.9969146005509641	0.9586776859504132
50000.0	carrier_carrier	100000	[0.45, 0.6)	109	0.6323420442312793	0.1993740606060606	0.05132674855211027	0.9982262996941896	0.8715596330275229
50000.0	carrier_carrier	100000	[0.6, 1.01)	453	0.6332568976766731	0.1993740606060606	0.05132674855211027	0.9943708609271524	0.8300220750551877
50000.0	carrier_carrier	500000	[0.0, 0.15)	35	0.4561920988954586	0.20021296078431372	0.034185078096683634	0.9984761904761904	0.9428571428571428
50000.0	carrier_carrier	500000	[0.15, 0.25)	55	0.38228212143716095	0.20021296078431372	0.034185078096683634	0.9917575757575761	0.8
50000.0	carrier_carrier	500000	[0.25, 0.45)	121	0.37199428680294117	0.20021296078431372	0.034185078096683634	0.986749311294766	0.743801652892562
50000.0	carrier_carrier	500000	[0.45, 0.6)	109	0.37416930698257145	0.20021296078431372	0.034185078096683634	0.9869724770642203	0.6605504587155964
50000.0	carrier_carrier	500000	[0.6, 1.01)	453	0.4013231994651837	0.20021296078431372	0.034185078096683634	0.9738557763061075	0.6909492273730684
50000.0	carrier_carrier	1000000	[0.0, 0.15)	35	0.3431260742302837	0.20210666666666668	0.02765517985369916	0.9773333333333333	0.7142857142857143
50000.0	carrier_carrier	1000000	[0.15, 0.25)	55	0.3010487691429726	0.20210666666666668	0.02765517985369916	0.9701212121212122	0.38181818181818183
50000.0	carrier_carrier	1000000	[0.25, 0.45)	121	0.29454715211693394	0.20210666666666668	0.02765517985369916	0.9598898071625344	0.36363636363636365
50000.0	carrier_carrier	1000000	[0.45, 0.6)	109	0.2989769878172157	0.20210666666666668	0.02765517985369916	0.950091743119266	0.3394495412844037
50000.0	carrier_carrier	1000000	[0.6, 1.01)	453	0.32005093927967093	0.20210666666666668	0.02765517985369916	0.9446799116997794	0.44150110375275936
50000.0	carrier_carrier	2000000	[0.0, 0.15)	35	0.27539169695678467	0.20258396683250415	0.021194721292360892	0.9207619047619048	0.5714285714285714
50000.0	carrier_carrier	2000000	[0.15, 0.25)	55	0.2576907635267759	0.20258396683250415	0.021194721292360892	0.9393333333333335	0.3090909090909091
50000.0	carrier_carrier	2000000	[0.25, 0.45)	121	0.25096801009521424	0.20258396683250415	0.021194721292360892	0.9015702479338843	0.2396694214876033
50000.0	carrier_carrier	2000000	[0.45, 0.6)	109	0.252725006315809	0.20258396683250415	0.021194721292360892	0.8881957186544344	0.1926605504587156
50000.0	carrier_carrier	2000000	[0.6, 1.01)	453	0.26506975355027756	0.20258396683250415	0.021194721292360892	0.895084621044886	0.3465783664459161
50000.0	carrier_carrier	4000000	[0.0, 0.15)	35	0.24109152725057886	0.20312935743973398	0.015909101862557503	0.8671428571428572	0.3142857142857143
50000.0	carrier_carrier	4000000	[0.15, 0.25)	55	0.23162878831619116	0.20312935743973398	0.015909101862557503	0.8667878787878788	0.12727272727272726
