arm	method	genotype_class	threshold_years	quantile	statistic	null_mean	n_neutral_exceeding	p_corrected	significant_rule
denovo_delayed_s0p01	decode_meanp	overall	40000.0	0.1	0.14969242256999998	0.23248722517933335	270	0.9003322259136213	False
denovo_delayed_s0p01	decode_meanp	overall	40000.0	0.25	0.175204445075	0.23248722517933335	221	0.7375415282392026	False
denovo_delayed_s0p01	decode_meanp	overall	40000.0	0.5	0.22029631444999997	0.23248722517933335	141	0.4717607973421927	False
denovo_delayed_s0p01	decode_meanp	overall	40000.0	0.75	0.2666667141	0.23248722517933335	82	0.2757475083056478	False
denovo_delayed_s0p01	decode_meanp	overall	40000.0	0.9	0.32512067272	0.23248722517933335	36	0.12292358803986711	False
denovo_delayed_s0p01	decode_meanp	overall	50000.0	0.1	0.16747966722	0.26428471205866666	272	0.9069767441860465	False
denovo_delayed_s0p01	decode_meanp	overall	50000.0	0.25	0.20006646	0.26428471205866666	218	0.7275747508305648	False
denovo_delayed_s0p01	decode_meanp	overall	50000.0	0.5	0.25054942955000004	0.26428471205866666	140	0.4684385382059801	False
denovo_delayed_s0p01	decode_meanp	overall	50000.0	0.75	0.3052943502	0.26428471205866666	82	0.2757475083056478	False
denovo_delayed_s0p01	decode_meanp	overall	50000.0	0.9	0.37439998304000005	0.26428471205866666	36	0.12292358803986711	False
denovo_delayed_s0p01	decode_meanp	overall	75000.0	0.1	0.202266476	0.32563642895666667	274	0.9136212624584718	False
denovo_delayed_s0p01	decode_meanp	overall	75000.0	0.25	0.2464937824	0.32563642895666667	222	0.7408637873754153	False
denovo_delayed_s0p01	decode_meanp	overall	75000.0	0.5	0.2963529195	0.32563642895666667	153	0.5116279069767442	False
denovo_delayed_s0p01	decode_meanp	overall	75000.0	0.75	0.3703165696	0.32563642895666667	84	0.2823920265780731	False
denovo_delayed_s0p01	decode_meanp	overall	75000.0	0.9	0.4662576661100001	0.32563642895666667	36	0.12292358803986711	False
denovo_delayed_s0p01	truth	carrier_carrier	1000.0	0.1	0.006493506493506494	0.0004786666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	1000.0	0.25	0.006493506493506494	0.0004786666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	1000.0	0.5	0.006493506493506494	0.0004786666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	1000.0	0.75	0.006493506493506494	0.0004786666666666667	0	0.0033222591362126247	True
