arm	method	genotype_class	threshold_years	n_replicates	n_null	mean_af	mean_statistic	null_mean	auc	power_rule	power_p_corrected	median_p
denovo_delayed_s0p01	truth	carrier_noncarrier	10000.0	82	300	0.022865853658536585	0.0	0.007359	0.0	0.0	0.0	1.0
denovo_delayed_s0p01	truth	noncarrier_noncarrier	10000.0	100	300	0.01875	0.007327319478575673	0.007359	0.5022	0.0	0.0	0.4750830564784053
denovo_delayed_s0p01	truth	overall	10000.0	100	300	0.01875	0.007680999999999999	0.007359	0.5523499999999999	0.01	0.01	0.4750830564784053
denovo_delayed_s0p05	truth	carrier_carrier	10000.0	100	300	0.78925	0.9320241953786023	0.007359	1.0	1.0	1.0	0.0033222591362126247
denovo_delayed_s0p05	truth	carrier_noncarrier	10000.0	100	300	0.78925	0.0	0.007359	0.0	0.0	0.0	1.0
denovo_delayed_s0p05	truth	noncarrier_noncarrier	10000.0	78	300	0.7432692307692307	0.010692863823759245	0.007359	0.5826068376068376	0.3333333333333333	0.3333333333333333	0.2558139534883721
denovo_delayed_s0p05	truth	overall	10000.0	100	300	0.78925	0.6000150000000001	0.007359	1.0	1.0	1.0	0.0033222591362126247
denovo_s0p003	truth	carrier_carrier	10000.0	92	300	0.4984239130434782	0.030593180130166903	0.007359	0.972463768115942	0.7608695652173914	0.7608695652173914	0.0033222591362126247
denovo_s0p003	truth	carrier_noncarrier	10000.0	100	300	0.4623499999999999	0.0	0.007359	0.0	0.0	0.0	1.0
denovo_s0p003	truth	noncarrier_noncarrier	10000.0	97	300	0.4475257731958763	0.01634313022214871	0.007359	0.8863917525773195	0.5360824742268041	0.5463917525773195	0.006644518272425249
denovo_s0p003	truth	overall	10000.0	100	300	0.4623499999999999	0.007776	0.007359	0.5832833333333334	0.01	0.01	0.40863787375415284
denovo_s0p004	truth	carrier_carrier	10000.0	99	300	0.6188383838383837	0.025489044966733078	0.007359	0.9508754208754209	0.6363636363636364	0.6565656565656566	0.0033222591362126247
denovo_s0p004	truth	carrier_noncarrier	10000.0	100	300	0.6128	0.0	0.007359	0.0	0.0	0.0	1.0
denovo_s0p004	truth	noncarrier_noncarrier	10000.0	95	300	0.5945789473684211	0.02210053832379321	0.007359	0.928701754385965	0.6631578947368421	0.6842105263157895	0.0033222591362126247
denovo_s0p004	truth	overall	10000.0	100	300	0.6128	0.008112000000000001	0.007359	0.6475	0.02	0.03	0.287375415282392
denovo_s0p005	truth	carrier_carrier	10000.0	100	300	0.7357	0.01721410680727757	0.007359	0.8926333333333334	0.49	0.5	0.011627906976744186
denovo_s0p005	truth	carrier_noncarrier	10000.0	100	300	0.7357	0.0	0.007359	0.0	0.0	0.0	1.0
denovo_s0p005	truth	noncarrier_noncarrier	10000.0	77	300	0.6690909090909091	0.023431703779903973	0.007359	0.9235064935064935	0.6883116883116883	0.7272727272727273	0.0033222591362126247
denovo_s0p005	truth	overall	10000.0	100	300	0.7357	0.007954	0.007359	0.6439	0.0	0.0	0.31229235880398676
pulse_delayed_s0p005	truth	carrier_carrier	10000.0	88	300	0.3131818181818182	0.0537505955913105	0.007359	0.9999621212121212	1.0	1.0	0.0033222591362126247
pulse_delayed_s0p005	truth	carrier_noncarrier	10000.0	100	300	0.2801	0.0	0.007359	0.0	0.0	0.0	1.0
pulse_delayed_s0p005	truth	noncarrier_noncarrier	10000.0	100	300	0.2801	0.009654082757091209	0.007359	0.7369666666666664	0.22	0.23	0.11295681063122923
pulse_delayed_s0p005	truth	overall	10000.0	100	300	0.2801	0.008127999999999998	0.007359	0.6473333333333333	0.02	0.04	0.29900332225913623
