calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw002	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	2	1223271673
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw003	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	3	172452796
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw004	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	4	2146464177
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw005	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	5	1680501080
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw006	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	6	360370168
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw007	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	7	589382012
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw008	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	8	1542496915
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw009	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	9	507531972
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw010	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	10	160129094
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw011	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	11	2060833913
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw012	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	12	588049513
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw013	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	13	67773363
