calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	elapsed_seconds	error	selection_intervals_json	canonical_result_source	reconciliation_id	reconciliation_mode	original_status	original_terminal_class	original_error	original_plan_sha256	original_ledger_sha256	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	selected_focal_identity_json	trajectory_sha256
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw004	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	4	797370961	complete	True	segregating	320.0	0.32	False	True	100.03792537400022		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw005	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	5	1939820012	complete	True	segregating	215.0	0.215	False	True	113.65513873700002		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw006	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	6	1525558268	complete	True	segregating	62.0	0.062	False	False	111.6025422939997		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw007	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	7	1185902274	complete	True	segregating	10.0	0.01	False	False	98.70310422800004		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw008	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	8	1318477828	complete	True	segregating	199.0	0.199	False	True	91.73263967100002		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw009	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	9	834731538	complete	True	segregating	73.0	0.073	False	False	71.61123830299994		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw010	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	10	1977911666	complete	True	segregating	15.0	0.015	False	False	102.31333718999986		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw011	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	11	1929787088	complete	True	segregating	79.0	0.079	True	True	83.06194819799975		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw012	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	12	929717584	complete	True	segregating	71.0	0.071	False	True	78.06102807799971		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw013	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	13	1757449789	complete	True	segregating	95.0	0.095	True	True	87.75517146399989		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
