position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
5210000	5210001	2000	0.02030987372	15648.3186	17	0.0085	0.02030987372
5220000	5220001	2000	0.02325734675	15197.45522	16	0.008	0.02325734675
5230000	5230001	2000	0.02364546596	11840.38351	14	0.007	0.02364546596
5240000	5240001	2000	0.02732225746	18376.87371	13	0.0065	0.02732225746
5250000	5250001	2000	0.02140865775	17847.62384	13	0.0065	0.02140865775
5260000	5260001	2000	0.02143190749	18906.04591	13	0.0065	0.02143190749
5270000	5270001	2000	0.02151225807	18451.33898	13	0.0065	0.02151225807
5280000	5280001	2000	0.02136977945	22670.88501	13	0.0065	0.02136977945
5290000	5290001	2000	0.01964659441	27183.98816	13	0.0065	0.01964659441
5300000	5300001	2000	0.01995407456	21280.262	15	0.0075	0.01995407456
5310000	5310001	2000	0.02112378027	23187.65628	18	0.009	0.02112378027
5320000	5320001	2000	0.02249317378	20156.93098	19	0.0095	0.02249317378
5330000	5330001	2000	0.01854331686	21317.97841	19	0.0095	0.01854331686
5340000	5340001	2000	0.01740916885	25093.32255	19	0.0095	0.01740916885
5350000	5350001	2000	0.01662134617	27465.49775	19	0.0095	0.01662134617
5360000	5360001	2000	0.01870291308	28210.39798	19	0.0095	0.01870291308
5370000	5370001	2000	0.02078032901	19817.25546	18	0.009	0.02078032901
5380000	5380001	2000	0.02269717373	15798.9425	18	0.009	0.02269717373
5390000	5390001	2000	0.02377451403	17236.86662	17	0.0085	0.02377451403
5400000	5400001	2000	0.02462818542	13006.98024	17	0.0085	0.02462818542
5410000	5410001	2000	0.02278101113	14743.67717	17	0.0085	0.02278101113
5420000	5420001	2000	0.02592198182	11345.46668	16	0.008	0.02592198182
5430000	5430001	2000	0.02254947827	15294.68608	15	0.0075	0.02254947827
5440000	5440001	2000	0.01933253436	24646.02769	16	0.008	0.01933253436
5450000	5450001	2000	0.01697570533	24276.49737	14	0.007	0.01697570533
5460000	5460001	2000	0.01672727763	22446.45544	14	0.007	0.01672727763
5470000	5470001	2000	0.01951368448	23929.93311	15	0.0075	0.01951368448
5480000	5480001	2000	0.02290559333	28026.44901	15	0.0075	0.02290559333
5490000	5490001	2000	0.02153052273	32683.5459	15	0.0075	0.02153052273
5500000	5500001	2000	0.01925023909	31321.0502	15	0.0075	0.01925023909
5510000	5510001	2000	0.02045776106	32547.55482	16	0.008	0.02045776106
5520000	5520001	2000	0.02168424042	26884.94872	16	0.008	0.02168424042
5530000	5530001	2000	0.02161121229	21698.34601	16	0.008	0.02161121229
5540000	5540001	2000	0.02403950498	32585.97433	16	0.008	0.02403950498
5550000	5550001	2000	0.02921058609	34425.56881	18	0.009	0.02921058609
5560000	5560001	2000	0.02070965848	20290.50298	18	0.009	0.02070965848
5570000	5570001	2000	0.01985780494	24467.75491	18	0.009	0.01985780494
5580000	5580001	2000	0.02044678446	13101.23378	18	0.009	0.02044678446
5590000	5590001	2000	0.02372238829	19030.59012	19	0.0095	0.02372238829
