unit_id	simulation_class	selection_coefficient	seed	source	window	threshold_years	score	final_population_af	sample_alt_count	sample_af	sample_detected
neutral_0003	neutral	0.0	515720359	tree_truth	local_100kb	20000	0.0304761904762	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	local_100kb	30000	0.0595238095238	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	local_100kb	40000	0.0919047619048	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	local_100kb	50000	0.123333333333	0.0170634920635	3	0.015	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	focal	1000	0.007110397708	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	focal	4500	0.01689509307	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	focal	10000	0.02830819683	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	focal	20000	0.04799992612	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	focal	30000	0.06344399446	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	focal	40000	0.07523195673	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	focal	50000	0.08459585969	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	local_100kb	1000	0.00886900525343	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	local_100kb	4500	0.0239386257105	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	local_100kb	10000	0.0405372572652	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	local_100kb	20000	0.0650143104367	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	local_100kb	30000	0.0839241065619	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	local_100kb	40000	0.0990200547067	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	gamma_smc	local_100kb	50000	0.111384131672	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	focal	1000	0.0	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	focal	4500	0.01	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	focal	10000	0.02	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	focal	20000	0.02	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	focal	30000	0.08	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	focal	40000	0.11	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	focal	50000	0.13	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	local_100kb	1000	0.0	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	local_100kb	4500	0.0109523809524	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	local_100kb	10000	0.0190476190476	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	local_100kb	20000	0.02	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	local_100kb	30000	0.0738095238095	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	local_100kb	40000	0.0990476190476	0.171031746032	33	0.165	True
neutral_0004	neutral	0.0	2088091101	tree_truth	local_100kb	50000	0.122380952381	0.171031746032	33	0.165	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	focal	1000	0.01484944673	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	focal	4500	0.04105014647	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	focal	10000	0.05765772656	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	focal	20000	0.07192764807	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	focal	30000	0.08090650171	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	focal	40000	0.0877410356	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	focal	50000	0.09325374574	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	local_100kb	1000	0.0163568575657	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	local_100kb	4500	0.0474576429571	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	local_100kb	10000	0.0715875915271	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	local_100kb	20000	0.0985361466662	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	local_100kb	30000	0.118879002105	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	local_100kb	40000	0.135934173963	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	gamma_smc	local_100kb	50000	0.150611025377	0.180555555556	36	0.18	True
neutral_0005	neutral	0.0	1095416509	tree_truth	focal	1000	0.01	0.180555555556	36	0.18	True
