schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	threshold_years	posthoc_overall_score	decoder_cpp_overall_score	signed_difference	absolute_difference
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	20000	0.18048723986762041	0.18048591850000001	1.3213676204049118e-06	1.3213676204049118e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	30000	0.24429183197711296	0.24429077299999991	1.0589771130553594e-06	1.0589771130553594e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	40000	0.29535215675508331	0.29535117319999987	9.8355508343361819e-07	9.8355508343361819e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	50000	0.3371915088339919	0.3371906542	8.5463399190910394e-07	8.5463399190910394e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	1000	0.0074414341643276672	0.007440798044	6.3612032766714038e-07	6.3612032766714038e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	4500	0.035821126033894916	0.03581940695	1.7190838949160403e-06	1.7190838949160403e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	10000	0.078939204601632521	0.078937065919999896	2.1386816326240954e-06	2.1386816326240954e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	20000	0.14750260994373962	0.14750058990000001	2.0200437396145077e-06	2.0200437396145077e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	30000	0.20302151809989472	0.20301958170000001	1.9363998947086181e-06	1.9363998947086181e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	40000	0.24716588185592986	0.2471641118	1.7700559298561291e-06	1.7700559298561291e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	50000	0.28201401927567582	0.28201229360000002	1.7256756758010638e-06	1.7256756758010638e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r006	EAS	neutral	0	2026083606	25	1000	0.0074783116620490966	0.0074778174429999001	4.9421904919650511e-07	4.9421904919650511e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r006	EAS	neutral	0	2026083606	25	4500	0.030166015218515047	0.030165053529999899	9.6168851514838449e-07	9.6168851514838449e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r006	EAS	neutral	0	2026083606	25	10000	0.061245661530669217	0.0612448387699999	8.2276066931674663e-07	8.2276066931674663e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r006	EAS	neutral	0	2026083606	25	20000	0.10697292625821818	0.1069727598	1.6645821818150885e-07	1.6645821818150885e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r006	EAS	neutral	0	2026083606	25	30000	0.14400052200725313	0.14400097670000001	-4.5469274687071071e-07	4.5469274687071071e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r006	EAS	neutral	0	2026083606	25	40000	0.17580418072355328	0.17580495460000001	-7.7387644673021505e-07	7.7387644673021505e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r006	EAS	neutral	0	2026083606	25	50000	0.20408155710417022	0.20408236239999991	-8.0529582968669189e-07	8.0529582968669189e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r007	EAS	neutral	0	2026083607	25	1000	0.010978136985361401	0.01097615393	1.9830553614017671e-06	1.9830553614017671e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r007	EAS	neutral	0	2026083607	25	4500	0.046424100321566318	0.046418312500000003	5.7878215663151322e-06	5.7878215663151322e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r007	EAS	neutral	0	2026083607	25	10000	0.093071891546851263	0.093064093240000006	7.7983068512560427e-06	7.7983068512560427e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r007	EAS	neutral	0	2026083607	25	20000	0.15474378445350079	0.15473614550000001	7.6389535007825859e-06	7.6389535007825859e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r007	EAS	neutral	0	2026083607	25	30000	0.19659545083560329	0.1965890273	6.4235356032893431e-06	6.4235356032893431e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r007	EAS	neutral	0	2026083607	25	40000	0.22668279361548468	0.22667749300000001	5.3006154846768627e-06	5.3006154846768627e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r007	EAS	neutral	0	2026083607	25	50000	0.24971858156085172	0.2497143306999999	4.2508608518176949e-06	4.2508608518176949e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r008	EAS	neutral	0	2026083608	25	1000	0.0091366622187477962	0.0091363002409999006	3.6197774789560599e-07	3.6197774789560599e-07
