schema	analysis_role	demography	statistic	threshold_years	observed_selected	n_neutral	minimum_attainable_p	neutral_mean	neutral_median	neutral_q025	neutral_q975	neutral_upper_extreme_count	neutral_lower_extreme_count	mc_p_upper	mc_p_lower	mc_p_two_sided	neutral_midrank_descriptive_auc	tail_contract	null_bank	pairing_unit
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_ref	10000	0.064936797740697855	96	0.010309278350515464	0.13347120601728205	0.12437755547110477	0.069624523143942713	0.26112684427224497	94	2	0.97938144329896903	0.030927835051546393	0.061855670103092786	0.020833333333333332	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_ref	20000	0.11435101627838783	96	0.010309278350515464	0.23196927683755378	0.21480646212778043	0.12256365809587036	0.43320121141603679	94	2	0.97938144329896903	0.030927835051546393	0.061855670103092786	0.020833333333333332	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_ref	30000	0.1571594473205726	96	0.010309278350515464	0.30622631856363064	0.28254453502867616	0.16262509204885336	0.54856238920409273	94	2	0.97938144329896903	0.030927835051546393	0.061855670103092786	0.020833333333333332	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_ref	40000	0.19559458699512255	96	0.010309278350515464	0.36438175080186808	0.33790907043825236	0.19854084773714242	0.63834458619756251	94	2	0.97938144329896903	0.030927835051546393	0.061855670103092786	0.020833333333333332	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_ref	50000	0.23026675828331489	96	0.010309278350515464	0.41138459742176936	0.38786279831433379	0.23165697470014765	0.70779632270027704	94	2	0.97938144329896903	0.030927835051546393	0.061855670103092786	0.020833333333333332	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_alt	1000	0.039364474587810158	63	0.015625	0.10394598457335257	0.071238931545580864	0.005336907003446331	0.46116249848179025	48	15	0.765625	0.25	0.5	0.23809523809523808	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_alt	4500	0.15491087649783375	63	0.015625	0.33053867142931531	0.27480854513999242	0.066022258304669415	0.86392224330936285	54	9	0.859375	0.15625	0.3125	0.14285714285714285	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_alt	10000	0.31578640192237784	63	0.015625	0.53909900053330906	0.5163518193303529	0.19342232059259529	0.97827825951210434	54	9	0.859375	0.15625	0.3125	0.14285714285714285	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_alt	20000	0.5310529279141839	63	0.015625	0.73193315685867621	0.74465306740992132	0.35577037811534856	0.99924940222191638	54	9	0.859375	0.15625	0.3125	0.14285714285714285	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_alt	30000	0.67148667465322964	63	0.015625	0.82608453153278694	0.87361563808600673	0.46204022453694532	0.99997460841490116	53	10	0.84375	0.171875	0.34375	0.15873015873015872	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_alt	40000	0.76397896874468851	63	0.015625	0.87920186323503702	0.93273967328107865	0.52558434413987742	0.99999914919172628	53	10	0.84375	0.171875	0.34375	0.15873015873015872	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_alt	50000	0.8263172670554666	63	0.015625	0.91215255896509995	0.96366990952245135	0.58170196714438627	0.9999999716465322	52	11	0.828125	0.1875	0.375	0.17460317460317459	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_ref	1000	0.021652620596873551	99	0.01	0.013263334130262259	0.0122642161400292	0.0072854590875827945	0.02640174897367863	5	94	0.059999999999999998	0.94999999999999996	0.12	0.9494949494949495	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_ref	4500	0.1009270056276457	99	0.01	0.061184958567571744	0.057013900831126549	0.034178376853544044	0.12045263124409479	5	94	0.059999999999999998	0.94999999999999996	0.12	0.9494949494949495	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_ref	10000	0.21604691704169832	99	0.01	0.13042509195923307	0.12174666632589475	0.073478649833595658	0.24756214689510117	5	94	0.059999999999999998	0.94999999999999996	0.12	0.9494949494949495	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_ref	20000	0.38655107314375631	99	0.01	0.23270335299733233	0.22045733454176578	0.13370603740010176	0.41756982386991115	5	94	0.059999999999999998	0.94999999999999996	0.12	0.9494949494949495	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_ref	30000	0.5149610644073418	99	0.01	0.31066572252051516	0.29385486621387119	0.17990784074411237	0.5257507949802479	5	94	0.059999999999999998	0.94999999999999996	0.12	0.9494949494949495	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_ref	40000	0.61248905329721981	99	0.01	0.37170468979242	0.35593835425302772	0.21702268487928331	0.60076724049725527	2	97	0.029999999999999999	0.97999999999999998	0.059999999999999998	0.97979797979797978	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	Han	p_hom_ref	50000	0.68758938960701987	99	0.01	0.42097513890691068	0.40801586565826858	0.24795822717523897	0.65612861238170117	2	97	0.029999999999999999	0.97999999999999998	0.059999999999999998	0.97979797979797978	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
