scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01
archaic_sites,decoded,all_r1_T20000,0.05,50000,41,100,45,1000,0.41,0.045,0.3186731302113651,0.5079856994658921,0.03379951228563171,0.059682837936223455,0.09890109890109891,0.563573883161512,0.49693251533742333,0.45179063360881544,0.9157245632065776,0.13981244671781753
archaic_sites,decoded,all_r1_T20000,0.1,50000,53,100,99,1000,0.53,0.099,0.4328885697009936,0.6248918204065872,0.08199544136866538,0.11907361893674984,0.1573926868044515,0.6507059545733579,0.6270232230823365,0.43783560512185044,0.9486980931178008,0.09354867178536758
archaic_sites,decoded,all_r1_T30000,0.01,50000,21,100,13,1000,0.21,0.013,0.141656540619153,0.29979968834089865,0.0076128203893510256,0.022114442375579666,0.05829596412556053,0.34341782502044155,0.3577981651376147,0.31650339110776193,0.8597194388777556,0.1682018422106528
archaic_sites,decoded,all_r1_T30000,0.05,50000,37,100,49,1000,0.37,0.049,0.28182360534324524,0.4677947041905709,0.037261034647360615,0.06419070150661013,0.11694510739856803,0.5214940098661028,0.5437731196054254,0.40861402540033126,0.9291323501244972,0.11895193698762256
archaic_sites,decoded,all_r1_T30000,0.1,50000,53,100,102,1000,0.53,0.102,0.4328885697009936,0.6248918204065872,0.08473913518484719,0.12230696456965467,0.16139240506329114,0.6495098039215687,0.6339779005524862,0.43300653594771243,0.9501317275122318,0.0911592707258342
archaic_sites,decoded,all_r1_T40000,0.01,50000,15,100,9,1000,0.15,0.009,0.0930598528365663,0.23283559590832364,0.004742060667477063,0.01701581616533807,0.056603773584905655,0.25884383088869717,0.35064935064935066,0.2437043054427295,0.8559077809798271,0.14698677119059286
archaic_sites,decoded,all_r1_T40000,0.05,50000,35,100,50,1000,0.35,0.05,0.26364248243097527,0.44745556703112027,0.03813026239274882,0.06531382024425081,0.12500000000000003,0.49999999999999994,0.5625,0.3888888888888888,0.9339622641509433,0.1111111111111111
archaic_sites,decoded,all_r1_T40000,0.1,50000,48,100,102,1000,0.48,0.102,0.384645517580519,0.5768342223477603,0.08473913518484719,0.12230696456965467,0.17525773195876287,0.6068268015170669,0.6566523605150215,0.40033361134278567,0.9546228020419739,0.08291587493522197
archaic_sites,decoded,all_r1_T5000,0.01,50000,9,100,6,1000,0.09,0.006,0.04807254000256516,0.1622621285271631,0.0027526691418763745,0.01302816824185209,0.0625,0.16423357664233576,0.37500000000000006,0.15734265734265732,0.868421052631579,0.10688836104513064
archaic_sites,decoded,all_r1_T5000,0.05,50000,16,100,44,1000,0.16,0.044,0.10095288488804782,0.24420269389270244,0.0329382145884185,0.058551789150407776,0.2156862745098039,0.26578073089701,0.7122302158273381,0.20565552699228792,0.9645704162976085,0.058013052936910815
