unit_id	replicate_index	seed	source	threshold_years	overall_focal_p_tmrca_lt_threshold	final_pool_alt_count	final_pool_total_count	final_pool_af	sample_alt_count	sample_total_count	sample_af	sample_detected
ancient_eurasia_single_origin_survival__neutral__rep029	29	2044716059	gamma_smc	30000	0.05290229875	27	1000	0.027	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep029	29	2044716059	gamma_smc	40000	0.0592189222	27	1000	0.027	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep029	29	2044716059	gamma_smc	50000	0.06492944758	27	1000	0.027	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	gamma_smc	1000	0.02400694834	30	1000	0.03	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	gamma_smc	4500	0.0832549575	30	1000	0.03	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	gamma_smc	10000	0.1415206774	30	1000	0.03	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	gamma_smc	20000	0.205606728	30	1000	0.03	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	gamma_smc	30000	0.2465638015	30	1000	0.03	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	gamma_smc	40000	0.2754190925	30	1000	0.03	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	gamma_smc	50000	0.2967019999	30	1000	0.03	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	gamma_smc	1000	0.01246213838	2	1000	0.002	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	gamma_smc	4500	0.0398608909	2	1000	0.002	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	gamma_smc	10000	0.07057200837	2	1000	0.002	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	gamma_smc	20000	0.1085070444	2	1000	0.002	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	gamma_smc	30000	0.1332364468	2	1000	0.002	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	gamma_smc	40000	0.1509286413	2	1000	0.002	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	gamma_smc	50000	0.1647894657	2	1000	0.002	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	gamma_smc	1000	0.02389578793	32	1000	0.032	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	gamma_smc	4500	0.05799810177	32	1000	0.032	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	gamma_smc	10000	0.08909284678	32	1000	0.032	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	gamma_smc	20000	0.1321573068	32	1000	0.032	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	gamma_smc	30000	0.1663754725	32	1000	0.032	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	gamma_smc	40000	0.1944749008	32	1000	0.032	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	gamma_smc	50000	0.2177817113	32	1000	0.032	5	200	0.025	True
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	gamma_smc	1000	0.0095808459	146	1000	0.146	29	200	0.145	True
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	gamma_smc	4500	0.04337145817	146	1000	0.146	29	200	0.145	True
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	gamma_smc	10000	0.07953990467	146	1000	0.146	29	200	0.145	True
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	gamma_smc	20000	0.1227323321	146	1000	0.146	29	200	0.145	True
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	gamma_smc	30000	0.1569576606	146	1000	0.146	29	200	0.145	True
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	gamma_smc	40000	0.1859804076	146	1000	0.146	29	200	0.145	True
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	gamma_smc	50000	0.2102913445	146	1000	0.146	29	200	0.145	True
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	gamma_smc	1000	0.01204280991	5	1000	0.005	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	gamma_smc	4500	0.03844539031	5	1000	0.005	1	200	0.005	True
