cohort,score
Neutral,0.1831
Neutral,0.1831
Neutral,0.1832
Neutral,0.1833
Neutral,0.1833
Neutral,0.1834
Neutral,0.1834
Neutral,0.1835
Neutral,0.1836
Neutral,0.1837
Neutral,0.1838
Neutral,0.1838
Neutral,0.1838
Neutral,0.1842
Neutral,0.1844
Neutral,0.1846
Neutral,0.1848
Neutral,0.1848
Neutral,0.1848
Neutral,0.1849
Neutral,0.1849
Neutral,0.185
Neutral,0.1851
Neutral,0.1854
Neutral,0.1855
Neutral,0.1855
Neutral,0.1858
Neutral,0.1858
Neutral,0.1858
Neutral,0.1859
Neutral,0.1861
Neutral,0.1861
Neutral,0.1862
Neutral,0.1862
Neutral,0.1862
Neutral,0.1864
Neutral,0.1864
Neutral,0.1865
Neutral,0.1865
Neutral,0.1865
Neutral,0.1868
Neutral,0.1868
Neutral,0.1871
Neutral,0.1872
Neutral,0.1873
Neutral,0.1874
Neutral,0.1877
Neutral,0.1879
Neutral,0.1879
Neutral,0.1884
Neutral,0.1886
Neutral,0.1886
Neutral,0.1886
Neutral,0.1887
Neutral,0.1888
Neutral,0.189
Neutral,0.1892
Neutral,0.1894
Neutral,0.1894
Neutral,0.19
Neutral,0.1901
Neutral,0.1903
Neutral,0.1904
Neutral,0.1909
Neutral,0.191
Neutral,0.1918
Neutral,0.1918
Neutral,0.1919
Neutral,0.1919
Neutral,0.1919
Neutral,0.1921
Neutral,0.1921
Neutral,0.1923
Neutral,0.1925
Neutral,0.1925
Neutral,0.1926
Neutral,0.1926
Neutral,0.1927
Neutral,0.1927
Neutral,0.1932
Neutral,0.1934
Neutral,0.1943
Neutral,0.1943
Neutral,0.1944
Neutral,0.1949
Neutral,0.1949
Neutral,0.1949
Neutral,0.1951
Neutral,0.1953
Neutral,0.1954
Neutral,0.1955
Neutral,0.1955
Neutral,0.1955
Neutral,0.1956
Neutral,0.1958
Neutral,0.1958
Neutral,0.1961
Neutral,0.1963
Neutral,0.1963
Neutral,0.1964
Neutral,0.1964
Neutral,0.1965
Neutral,0.1966
Neutral,0.1966
Neutral,0.1968
Neutral,0.197
Neutral,0.1972
Neutral,0.1973
