arm_id	selection_coefficient	mode	replicate_index	status	elapsed_seconds	error
eas_introgressed_s0p003	0.003	selected	61	completed	232.2811738140008	
eas_introgressed_s0p003	0.003	selected	62	completed	69.92952929600142	
eas_introgressed_s0p003	0.003	selected	63	completed	91.2099298409994	
eas_introgressed_s0p003	0.003	selected	64	completed	43.72434290400088	
eas_introgressed_s0p003	0.003	selected	65	completed	82.50725418000002	
eas_introgressed_s0p003	0.003	selected	66	completed	86.65683945800083	
eas_introgressed_s0p003	0.003	selected	67	completed	65.70982721300061	
eas_introgressed_s0p003	0.003	selected	68	completed	43.08844470300028	
eas_introgressed_s0p003	0.003	selected	69	completed	64.08481832599864	
eas_introgressed_s0p003	0.003	selected	70	completed	65.50105795200034	
eas_introgressed_s0p003	0.003	selected	71	completed	90.48836867099999	
eas_introgressed_s0p003	0.003	selected	72	completed	87.10454512800061	
eas_introgressed_s0p003	0.003	selected	73	completed	86.52573241299979	
eas_introgressed_s0p003	0.003	selected	74	completed	43.944264902000214	
eas_introgressed_s0p003	0.003	selected	75	completed	40.3098129480004	
eas_introgressed_s0p003	0.003	selected	76	completed	44.45298580799863	
eas_introgressed_s0p003	0.003	selected	77	completed	42.291155695998896	
eas_introgressed_s0p003	0.003	selected	78	completed	109.713446492	
eas_introgressed_s0p003	0.003	selected	79	completed	87.12698055299916	
eas_introgressed_s0p005	0.005	selected	0	completed	84.42358316799982	
eas_introgressed_s0p005	0.005	selected	1	completed	92.21013691100052	
eas_introgressed_s0p005	0.005	selected	2	completed	65.79497103599897	
eas_introgressed_s0p005	0.005	selected	3	completed	44.012606177000634	
eas_introgressed_s0p005	0.005	selected	4	completed	68.23255627400067	
eas_introgressed_s0p005	0.005	selected	5	completed	116.79780697999922	
eas_introgressed_s0p005	0.005	selected	6	completed	67.4434891180008	
eas_introgressed_s0p005	0.005	selected	7	completed	140.93879447200015	
eas_introgressed_s0p005	0.005	selected	8	completed	84.1760550179988	
eas_introgressed_s0p005	0.005	selected	9	completed	114.5170491530007	
eas_introgressed_s0p005	0.005	selected	10	completed	92.96136052600013	
eas_introgressed_s0p005	0.005	selected	11	completed	109.81894185800047	
eas_introgressed_s0p005	0.005	selected	12	completed	397.13195407999956	
eas_introgressed_s0p005	0.005	selected	13	completed	179.1404917939999	
eas_introgressed_s0p005	0.005	selected	14	completed	42.474341557001026	
