demography_id	selection_coefficient	time_variable	time_generations	time_kya	initial_af_assumption	deterministic_final_af
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	461	11.525	7.10631040363843e-05	0.0007118926951284474
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	471	11.775	7.345379756133391e-05	0.0007735236442998806
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	481	12.025	7.498500299940011e-05	0.0008300888039927532
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	491	12.275	7.854225573358467e-05	0.0009139729026944272
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	501	12.525	8.039877793857533e-05	0.0009834781453033235
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	511	12.775	8.279516476237788e-05	0.0010646349608276436
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	521	13.025	8.486082824168364e-05	0.0011470512004176359
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	531	13.275	8.665511265164645e-05	0.0012312567336388823
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	541	13.525	8.917424647761727e-05	0.0013318825735063973
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	551	13.775	9.149130832570906e-05	0.0014364039836237631
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	561	14.025	9.31619154089808e-05	0.00153747004769227
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	571	14.275	9.46073793755913e-05	0.0016412075078877616
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	581	14.525	9.676795045480937e-05	0.0017645421329928856
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	591	14.775	9.815469179426777e-05	0.0018813779348578383
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	601	15.025	0.0001003814495081309	0.002022426559223436
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	611	15.275	0.00010262725779967159	0.002173361820025879
